t,in,2,3
-9.496000E-05,2.028052E+00,1.9476208E+00,1.1854178E+00
-9.494400E-05,2.029631E+00,1.9409070E+00,1.1839682E+00
-9.492800E-05,2.028579E+00,1.9586072E+00,1.1890799E+00
-9.491200E-05,2.025771E+00,1.9427380E+00,1.1854178E+00
-9.489600E-05,2.033667E+00,1.9555554E+00,1.1886221E+00
-9.488000E-05,2.026297E+00,1.9613538E+00,1.1908347E+00
-9.486400E-05,2.030860E+00,1.9253430E+00,1.1881644E+00
-9.484800E-05,2.031386E+00,1.9467053E+00,1.1893851E+00
-9.483200E-05,2.030860E+00,1.9546399E+00,1.1861807E+00
-9.481600E-05,2.029631E+00,1.9564709E+00,1.1849600E+00
-9.480000E-05,2.031386E+00,1.9564709E+00,1.1861807E+00
-9.478400E-05,2.032439E+00,1.9427380E+00,1.1854178E+00
-9.476800E-05,2.033667E+00,1.9564709E+00,1.1874014E+00
-9.475200E-05,2.030158E+00,1.9537244E+00,1.1854178E+00
-9.473600E-05,2.027350E+00,1.9311414E+00,1.1874014E+00
-9.472000E-05,2.028052E+00,1.9537244E+00,1.1881644E+00
-9.470400E-05,2.026824E+00,1.9448743E+00,1.1871725E+00
-9.468800E-05,2.030860E+00,1.9409070E+00,1.1866385E+00
-9.467200E-05,2.029631E+00,1.9564709E+00,1.1866385E+00
-9.465600E-05,2.022963E+00,1.9546399E+00,1.1854178E+00
-9.464000E-05,2.035949E+00,1.9546399E+00,1.1859518E+00
-9.462400E-05,2.027350E+00,1.9564709E+00,1.1866385E+00
-9.460800E-05,2.030158E+00,1.9448743E+00,1.1869437E+00
-9.459200E-05,2.037528E+00,1.9586072E+00,1.1839682E+00
-9.457600E-05,2.022963E+00,1.9671521E+00,1.1898428E+00
-9.456000E-05,2.034720E+00,1.9360242E+00,1.1876303E+00
-9.454400E-05,2.028052E+00,1.9448743E+00,1.1903769E+00
-9.452800E-05,2.026824E+00,1.9515881E+00,1.1893851E+00
-9.451200E-05,2.031913E+00,1.9476208E+00,1.1861807E+00
-9.449600E-05,2.029631E+00,1.9564709E+00,1.1883932E+00
-9.448000E-05,2.034720E+00,1.9488416E+00,1.1893851E+00
-9.446400E-05,2.026824E+00,1.9525037E+00,1.1871725E+00
-9.444800E-05,2.031913E+00,1.9634900E+00,1.1871725E+00
